<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
RUR,D,20110424,0000,28.016,0
RUR,D,20110425,0000,27.8892,0
RUR,D,20110426,0000,27.772,0
RUR,D,20110427,0000,27.5645,0
RUR,D,20110428,0000,27.4808,0
RUR,D,20110429,0000,27.389,0
RUR,D,20110430,0000,27.335,0
RUR,D,20110501,0000,27.335,0
RUR,D,20110502,0000,27.334,0
RUR,D,20110503,0000,27.3365,0
RUR,D,20110504,0000,27.3613,0
RUR,D,20110505,0000,27.548,0
RUR,D,20110506,0000,27.8773,0
RUR,D,20110507,0000,27.79,0
RUR,D,20110508,0000,27.79,0
RUR,D,20110509,0000,27.899,0
RUR,D,20110510,0000,27.6985,0
RUR,D,20110511,0000,27.7965,0
RUR,D,20110512,0000,27.9405,0
RUR,D,20110513,0000,28.127,0
RUR,D,20110514,0000,28.141,0
RUR,D,20110515,0000,28.141,0
RUR,D,20110516,0000,28.1144,0
RUR,D,20110517,0000,28.1473,0
RUR,D,20110518,0000,28.045,0
RUR,D,20110519,0000,27.986,0
RUR,D,20110520,0000,28.1173,0
RUR,D,20110521,0000,28.025,0
RUR,D,20110522,0000,28.025,0
RUR,D,20110523,0000,28.4765,0
RUR,D,20110524,0000,28.3268,0
RUR,D,20110525,0000,28.445,0
RUR,D,20110526,0000,28.199,0
RUR,D,20110527,0000,28.208,0
RUR,D,20110528,0000,27.995,0
RUR,D,20110529,0000,27.995,0
RUR,D,20110530,0000,28.072,0
RUR,D,20110531,0000,27.973,0
RUR,D,20110601,0000,27.99,0
RUR,D,20110602,0000,27.8632,0
RUR,D,20110603,0000,27.7584,0
RUR,D,20110604,0000,27.865,0
RUR,D,20110605,0000,27.955,0
RUR,D,20110606,0000,27.858,0
RUR,D,20110607,0000,27.6985,0
RUR,D,20110608,0000,27.7475,0
RUR,D,20110609,0000,27.7707,0
RUR,D,20110610,0000,28.0085,0
RUR,D,20110611,0000,28.005,0
RUR,D,20110612,0000,28.037,0
RUR,D,20110613,0000,27.9205,0
RUR,D,20110614,0000,27.8471,0
RUR,D,20110615,0000,28.09,0
RUR,D,20110616,0000,28.12,0
RUR,D,20110617,0000,28.01,0
RUR,D,20110618,0000,28.015,0
RUR,D,20110619,0000,28.015,0
RUR,D,20110620,0000,28.0837,0
RUR,D,20110621,0000,27.9245,0
RUR,D,20110622,0000,28.0087,0
RUR,D,20110623,0000,28.1292,0
RUR,D,20110624,0000,28.216,0
RUR,D,20110625,0000,28.165,0
RUR,D,20110626,0000,28.165,0
RUR,D,20110627,0000,28.2207,0
RUR,D,20110628,0000,28.112,0
RUR,D,20110629,0000,28.025,0
RUR,D,20110630,0000,27.93,0
RUR,D,20110701,0000,27.82,0
RUR,D,20110702,0000,27.865,0
RUR,D,20110703,0000,27.865,0
RUR,D,20110704,0000,27.7928,0
RUR,D,20110705,0000,27.898,0
RUR,D,20110706,0000,27.87,0
RUR,D,20110707,0000,27.917,0
RUR,D,20110708,0000,28.197,0
RUR,D,20110709,0000,28.19,0
RUR,D,20110710,0000,28.19,0
RUR,D,20110711,0000,28.218,0
RUR,D,20110712,0000,28.3325,0
RUR,D,20110713,0000,28.024,0
RUR,D,20110714,0000,28.121,0
RUR,D,20110715,0000,28.077,0
RUR,D,20110716,0000,28.06,0
RUR,D,20110717,0000,28.06,0
RUR,D,20110718,0000,28.255,0
RUR,D,20110719,0000,28.2075,0
RUR,D,20110720,0000,27.9762,0
RUR,D,20110721,0000,27.7275,0
RUR,D,20110722,0000,27.7512,0
RUR,D,20110723,0000,27.742,0
RUR,D,20110724,0000,27.768,0
RUR,D,20110725,0000,27.6987,0
RUR,D,20110726,0000,27.485,0
RUR,D,20110727,0000,27.5512,0
RUR,D,20110728,0000,27.595,0
RUR,D,20110729,0000,27.6112,0
RUR,D,20110730,0000,27.6025,0
RUR,D,20110731,0000,27.6025,0
RUR,D,20110801,0000,27.758,0
RUR,D,20110802,0000,27.8171,0
RUR,D,20110803,0000,27.8465,0
RUR,D,20110804,0000,28.1512,0
RUR,D,20110805,0000,28.057,0
RUR,D,20110806,0000,28.304,0
RUR,D,20110807,0000,28.304,0
RUR,D,20110808,0000,28.995,0
RUR,D,20110809,0000,29.7887,0
RUR,D,20110810,0000,29.929,0
RUR,D,20110811,0000,29.797,0
RUR,D,20110812,0000,29.1843,0
RUR,D,20110813,0000,29.129,0
RUR,D,20110814,0000,29.242,0
RUR,D,20110815,0000,28.6037,0
RUR,D,20110816,0000,28.679,0
RUR,D,20110817,0000,28.7445,0
RUR,D,20110818,0000,29.108,0
RUR,D,20110819,0000,29.0475,0
RUR,D,20110820,0000,29.061,0
RUR,D,20110821,0000,29.088,0
RUR,D,20110822,0000,29.115,0
RUR,D,20110823,0000,29.067,0
RUR,D,20110824,0000,28.91,0
RUR,D,20110825,0000,28.9833,0
RUR,D,20110826,0000,28.805,0
RUR,D,20110827,0000,28.791,0
RUR,D,20110828,0000,28.806,0
RUR,D,20110829,0000,28.7687,0
RUR,D,20110830,0000,28.879,0
RUR,D,20110831,0000,28.855,0
RUR,D,20110901,0000,28.983,0
